model,eval_split,n,mae,rmse,bias,mape
MLP (no graph),test_id,2100,68696.66075799851,99060.1903757363,7405.83365234375,33.686920827552505
GNN-Mean,test_id,2100,45722.12505115327,71170.66084563885,-6596.189673549107,21.84523426549178
"GNN-Mean-NoZt (offline, z_t blinded)",test_id,2100,47890.135571986604,71393.94180082386,4700.2230719866075,24.181069442010315
"GNN-Quantile (frozen, Q50, uncalibrated)",test_id,2100,10907.800871465774,17462.169787764236,157.95165829613094,4.619427573609243
