graph_id,criticality,scheduler,cost_estimator,deadline_us,period_us,R_end_us,deadline_missed,tardiness_us,slack_us,makespan_us
test_id_000465,HI,HEFT,Q50_pred_us,15544382.0,17479260.0,14343551.121160714,False,0.0,1200830.878839286,14343551.121160714
test_id_000465,HI,HEFT,Q95_pred_us,15544382.0,17479260.0,17322124.322592106,True,1777742.3225921057,-1777742.3225921057,17322124.322592106
test_id_000465,HI,HEFT,C_e_us,15544382.0,17479260.0,19825003.47618421,True,4280621.476184212,-4280621.476184212,19825003.47618421
test_id_000474,LO,HEFT,Q50_pred_us,1542427.0,1682385.0,3504987.886388158,True,1962560.886388158,-1962560.886388158,3504987.886388158
test_id_000474,LO,HEFT,Q95_pred_us,1542427.0,1682385.0,4107513.984375,True,2565086.984375,-2565086.984375,4107513.984375
test_id_000474,LO,HEFT,C_e_us,1542427.0,1682385.0,4107513.984375,True,2565086.984375,-2565086.984375,4107513.984375
test_id_000477,HI,HEFT,Q50_pred_us,5052459.0,6486278.0,15028469.757644735,True,9976010.757644735,-9976010.757644735,15028469.757644735
test_id_000477,HI,HEFT,Q95_pred_us,5052459.0,6486278.0,17401822.86525,True,12349363.865249999,-12349363.865249999,17401822.86525
test_id_000477,HI,HEFT,C_e_us,5052459.0,6486278.0,19089942.61525,True,14037483.615249999,-14037483.615249999,19089942.61525
test_id_000523,LO,HEFT,Q50_pred_us,10211495.0,14824254.0,20465146.388340227,True,10253651.388340227,-10253651.388340227,20465146.388340227
test_id_000523,LO,HEFT,Q95_pred_us,10211495.0,14824254.0,23296386.63281955,True,13084891.632819548,-13084891.632819548,23296386.63281955
test_id_000523,LO,HEFT,C_e_us,10211495.0,14824254.0,23296386.63281955,True,13084891.632819548,-13084891.632819548,23296386.63281955
test_id_000558,HI,HEFT,Q50_pred_us,965097.0,1349011.0,14233978.46875,True,13268881.46875,-13268881.46875,14233978.46875
test_id_000558,HI,HEFT,Q95_pred_us,965097.0,1349011.0,16834161.609375,True,15869064.609375,-15869064.609375,16834161.609375
test_id_000558,HI,HEFT,C_e_us,965097.0,1349011.0,18823239.40625,True,17858142.40625,-17858142.40625,18823239.40625
test_id_000564,LO,HEFT,Q50_pred_us,1624774.0,1819070.0,5904141.546875,True,4279367.546875,-4279367.546875,5904141.546875
test_id_000564,LO,HEFT,Q95_pred_us,1624774.0,1819070.0,7145159.484375,True,5520385.484375,-5520385.484375,7145159.484375
test_id_000564,LO,HEFT,C_e_us,1624774.0,1819070.0,7145159.484375,True,5520385.484375,-5520385.484375,7145159.484375
test_id_000581,HI,HEFT,Q50_pred_us,1099465.0,1432708.0,3073092.453125,True,1973627.453125,-1973627.453125,3073092.453125
test_id_000581,HI,HEFT,Q95_pred_us,1099465.0,1432708.0,3653977.125,True,2554512.125,-2554512.125,3653977.125
test_id_000581,HI,HEFT,C_e_us,1099465.0,1432708.0,4133936.0894078948,True,3034471.0894078948,-3034471.0894078948,4133936.0894078948
test_id_000583,LO,HEFT,Q50_pred_us,6221974.0,7196070.0,4754306.017875,False,0.0,1467667.982125,4754306.017875
test_id_000583,LO,HEFT,Q95_pred_us,6221974.0,7196070.0,5594741.080375,False,0.0,627232.9196250001,5594741.080375
test_id_000583,LO,HEFT,C_e_us,6221974.0,7196070.0,5594741.080375,False,0.0,627232.9196250001,5594741.080375
test_id_000618,HI,HEFT,Q50_pred_us,3321410.0,4610680.0,10576451.374330826,True,7255041.374330826,-7255041.374330826,10576451.374330826
test_id_000618,HI,HEFT,Q95_pred_us,3321410.0,4610680.0,12207136.836407894,True,8885726.836407894,-8885726.836407894,12207136.836407894
test_id_000618,HI,HEFT,C_e_us,3321410.0,4610680.0,13214380.442020677,True,9892970.442020677,-9892970.442020677,13214380.442020677
test_id_000629,LO,HEFT,Q50_pred_us,1619758.0,1879892.0,3072552.5263035716,True,1452794.5263035716,-1452794.5263035716,3072552.5263035716
test_id_000629,LO,HEFT,Q95_pred_us,1619758.0,1879892.0,3656602.095131579,True,2036844.0951315789,-2036844.0951315789,3656602.095131579
test_id_000629,LO,HEFT,C_e_us,1619758.0,1879892.0,3656602.095131579,True,2036844.0951315789,-2036844.0951315789,3656602.095131579
test_id_000631,HI,HEFT,Q50_pred_us,549980.0,783276.0,1514952.484375,True,964972.484375,-964972.484375,1514952.484375
test_id_000631,HI,HEFT,Q95_pred_us,549980.0,783276.0,1823727.7912302632,True,1273747.7912302632,-1273747.7912302632,1823727.7912302632
test_id_000631,HI,HEFT,C_e_us,549980.0,783276.0,2076084.765625,True,1526104.765625,-1526104.765625,2076084.765625
test_id_000697,LO,HEFT,Q50_pred_us,1355078.0,1905046.0,4409922.5625,True,3054844.5625,-3054844.5625,4409922.5625
test_id_000697,LO,HEFT,Q95_pred_us,1355078.0,1905046.0,5127330.609375,True,3772252.609375,-3772252.609375,5127330.609375
test_id_000697,LO,HEFT,C_e_us,1355078.0,1905046.0,5127330.609375,True,3772252.609375,-3772252.609375,5127330.609375
test_id_000713,HI,HEFT,Q50_pred_us,2675662.0,3667560.0,15870724.515625,True,13195062.515625,-13195062.515625,15870724.515625
test_id_000713,HI,HEFT,Q95_pred_us,2675662.0,3667560.0,18551866.78125,True,15876204.78125,-15876204.78125,18551866.78125
test_id_000713,HI,HEFT,C_e_us,2675662.0,3667560.0,20476978.265625,True,17801316.265625,-17801316.265625,20476978.265625
test_id_000747,LO,HEFT,Q50_pred_us,5246497.0,6330977.0,11425048.394131579,True,6178551.3941315785,-6178551.3941315785,11425048.394131579
test_id_000747,LO,HEFT,Q95_pred_us,5246497.0,6330977.0,13229847.976414474,True,7983350.976414474,-7983350.976414474,13229847.976414474
test_id_000747,LO,HEFT,C_e_us,5246497.0,6330977.0,13229847.976414474,True,7983350.976414474,-7983350.976414474,13229847.976414474
test_id_000752,HI,HEFT,Q50_pred_us,1876533.0,2152177.0,2904948.350389098,True,1028415.3503890978,-1028415.3503890978,2904948.350389098
test_id_000752,HI,HEFT,Q95_pred_us,1876533.0,2152177.0,3293858.793256579,True,1417325.793256579,-1417325.793256579,3293858.793256579
test_id_000752,HI,HEFT,C_e_us,1876533.0,2152177.0,3721091.0709135337,True,1844558.0709135337,-1844558.0709135337,3721091.0709135337
test_id_000757,LO,HEFT,Q50_pred_us,8518530.0,11960221.0,7729974.490267858,False,0.0,788555.5097321421,7729974.490267858
test_id_000757,LO,HEFT,Q95_pred_us,8518530.0,11960221.0,9344968.31162688,True,826438.3116268795,-826438.3116268795,9344968.31162688
test_id_000757,LO,HEFT,C_e_us,8518530.0,11960221.0,9344968.31162688,True,826438.3116268795,-826438.3116268795,9344968.31162688
test_id_000760,HI,HEFT,Q50_pred_us,6128957.0,8976419.0,5378161.929874999,False,0.0,750795.0701250006,5378161.929874999
test_id_000760,HI,HEFT,Q95_pred_us,6128957.0,8976419.0,6165478.740473684,True,36521.74047368392,-36521.74047368392,6165478.740473684
test_id_000760,HI,HEFT,C_e_us,6128957.0,8976419.0,6776167.427973684,True,647210.4279736839,-647210.4279736839,6776167.427973684
test_id_000779,LO,HEFT,Q50_pred_us,604066.0,624110.0,3404123.46875,True,2800057.46875,-2800057.46875,3404123.46875
test_id_000779,LO,HEFT,Q95_pred_us,604066.0,624110.0,4076659.609375,True,3472593.609375,-3472593.609375,4076659.609375
test_id_000779,LO,HEFT,C_e_us,604066.0,624110.0,4076659.609375,True,3472593.609375,-3472593.609375,4076659.609375
test_id_000814,HI,HEFT,Q50_pred_us,9903939.0,13513461.0,16845573.81287782,True,6941634.812877819,-6941634.812877819,16845573.81287782
test_id_000814,HI,HEFT,Q95_pred_us,9903939.0,13513461.0,19808877.889,True,9904938.888999999,-9904938.888999999,19808877.889
test_id_000814,HI,HEFT,C_e_us,9903939.0,13513461.0,22187498.795828946,True,12283559.795828946,-12283559.795828946,22187498.795828946
test_id_000832,LO,HEFT,Q50_pred_us,7222289.0,9267322.0,7226238.252089286,True,3949.252089286223,-3949.252089286223,7226238.252089286
test_id_000832,LO,HEFT,Q95_pred_us,7222289.0,9267322.0,8582316.658339286,True,1360027.6583392862,-1360027.6583392862,8582316.658339286
