graph_id,criticality,scheduler,cost_estimator,deadline_us,period_us,R_end_us,deadline_missed,tardiness_us,slack_us,makespan_us
test_id_000341,HI,DeadlineAwareList,Q95_pred_us,572020.0,726480.0,12574668.588828947,True,12002648.588828947,-12002648.588828947,12574668.588828947
test_id_000341,HI,DeadlineAwareList,C_e_us,572020.0,726480.0,14115727.159322368,True,13543707.159322368,-13543707.159322368,14115727.159322368
test_id_000343,LO,DeadlineAwareList,Q50_pred_us,2811046.0,3739279.0,16554677.043505639,True,13743631.043505639,-13743631.043505639,16554677.043505639
test_id_000343,LO,DeadlineAwareList,Q95_pred_us,2811046.0,3739279.0,19338120.921875,True,16527074.921875,-16527074.921875,19338120.921875
test_id_000343,LO,DeadlineAwareList,C_e_us,2811046.0,3739279.0,19338120.921875,True,16527074.921875,-16527074.921875,19338120.921875
test_id_000386,HI,DeadlineAwareList,Q50_pred_us,1741176.0,2112587.0,9350281.984375,True,7609105.984375,-7609105.984375,9350281.984375
test_id_000386,HI,DeadlineAwareList,Q95_pred_us,1741176.0,2112587.0,11098434.890625,True,9357258.890625,-9357258.890625,11098434.890625
test_id_000386,HI,DeadlineAwareList,C_e_us,1741176.0,2112587.0,12503216.265625,True,10762040.265625,-10762040.265625,12503216.265625
test_id_000423,LO,DeadlineAwareList,Q50_pred_us,7965044.0,9967637.0,20971986.876400374,True,13006942.876400374,-13006942.876400374,20971986.876400374
test_id_000423,LO,DeadlineAwareList,Q95_pred_us,7965044.0,9967637.0,23620947.988539472,True,15655903.988539472,-15655903.988539472,23620947.988539472
test_id_000423,LO,DeadlineAwareList,C_e_us,7965044.0,9967637.0,23620947.988539472,True,15655903.988539472,-15655903.988539472,23620947.988539472
test_id_000438,HI,DeadlineAwareList,Q50_pred_us,639979.0,842787.0,4555667.644296053,True,3915688.644296053,-3915688.644296053,4555667.644296053
test_id_000438,HI,DeadlineAwareList,Q95_pred_us,639979.0,842787.0,5374002.3125,True,4734023.3125,-4734023.3125,5374002.3125
test_id_000438,HI,DeadlineAwareList,C_e_us,639979.0,842787.0,6022354.5625,True,5382375.5625,-5382375.5625,6022354.5625
test_id_000448,LO,DeadlineAwareList,Q50_pred_us,1274585.0,1412000.0,1562253.643993421,True,287668.643993421,-287668.643993421,1562253.643993421
test_id_000448,LO,DeadlineAwareList,Q95_pred_us,1274585.0,1412000.0,1888596.0943035714,True,614011.0943035714,-614011.0943035714,1888596.0943035714
test_id_000448,LO,DeadlineAwareList,C_e_us,1274585.0,1412000.0,1888596.0943035714,True,614011.0943035714,-614011.0943035714,1888596.0943035714
test_id_000465,HI,DeadlineAwareList,Q50_pred_us,15544382.0,17479260.0,14182547.375,False,0.0,1361834.625,14182547.375
test_id_000465,HI,DeadlineAwareList,Q95_pred_us,15544382.0,17479260.0,17110601.010092106,True,1566219.0100921057,-1566219.0100921057,17110601.010092106
test_id_000465,HI,DeadlineAwareList,C_e_us,15544382.0,17479260.0,19590622.494467106,True,4046240.4944671057,-4046240.4944671057,19590622.494467106
test_id_000474,LO,DeadlineAwareList,Q50_pred_us,1542427.0,1682385.0,3515819.4923355263,True,1973392.4923355263,-1973392.4923355263,3515819.4923355263
test_id_000474,LO,DeadlineAwareList,Q95_pred_us,1542427.0,1682385.0,4104390.46875,True,2561963.46875,-2561963.46875,4104390.46875
test_id_000474,LO,DeadlineAwareList,C_e_us,1542427.0,1682385.0,4104390.46875,True,2561963.46875,-2561963.46875,4104390.46875
test_id_000477,HI,DeadlineAwareList,Q50_pred_us,5052459.0,6486278.0,15026715.240249999,True,9974256.240249999,-9974256.240249999,15026715.240249999
test_id_000477,HI,DeadlineAwareList,Q95_pred_us,5052459.0,6486278.0,17348106.410236843,True,12295647.410236843,-12295647.410236843,17348106.410236843
test_id_000477,HI,DeadlineAwareList,C_e_us,5052459.0,6486278.0,19039183.915342104,True,13986724.915342104,-13986724.915342104,19039183.915342104
test_id_000523,LO,DeadlineAwareList,Q50_pred_us,10211495.0,14824254.0,20647873.304165408,True,10436378.304165408,-10436378.304165408,20647873.304165408
test_id_000523,LO,DeadlineAwareList,Q95_pred_us,10211495.0,14824254.0,23466231.46850564,True,13254736.46850564,-13254736.46850564,23466231.46850564
test_id_000523,LO,DeadlineAwareList,C_e_us,10211495.0,14824254.0,23466231.46850564,True,13254736.46850564,-13254736.46850564,23466231.46850564
test_id_000558,HI,DeadlineAwareList,Q50_pred_us,965097.0,1349011.0,14247420.21875,True,13282323.21875,-13282323.21875,14247420.21875
test_id_000558,HI,DeadlineAwareList,Q95_pred_us,965097.0,1349011.0,16787772.046875,True,15822675.046875,-15822675.046875,16787772.046875
test_id_000558,HI,DeadlineAwareList,C_e_us,965097.0,1349011.0,18805515.59375,True,17840418.59375,-17840418.59375,18805515.59375
test_id_000564,LO,DeadlineAwareList,Q50_pred_us,1624774.0,1819070.0,5906410.359375,True,4281636.359375,-4281636.359375,5906410.359375
test_id_000564,LO,DeadlineAwareList,Q95_pred_us,1624774.0,1819070.0,7144909.34375,True,5520135.34375,-5520135.34375,7144909.34375
test_id_000564,LO,DeadlineAwareList,C_e_us,1624774.0,1819070.0,7144909.34375,True,5520135.34375,-5520135.34375,7144909.34375
test_id_000581,HI,DeadlineAwareList,Q50_pred_us,1099465.0,1432708.0,3107068.6186578944,True,2007603.6186578944,-2007603.6186578944,3107068.6186578944
test_id_000581,HI,DeadlineAwareList,Q95_pred_us,1099465.0,1432708.0,3679384.609375,True,2579919.609375,-2579919.609375,3679384.609375
test_id_000581,HI,DeadlineAwareList,C_e_us,1099465.0,1432708.0,4136596.4746315787,True,3037131.4746315787,-3037131.4746315787,4136596.4746315787
test_id_000583,LO,DeadlineAwareList,Q50_pred_us,6221974.0,7196070.0,4755752.171816729,False,0.0,1466221.828183271,4755752.171816729
test_id_000583,LO,DeadlineAwareList,Q95_pred_us,6221974.0,7196070.0,5554179.943321428,False,0.0,667794.0566785717,5554179.943321428
