epoch,train_loss,validation_loss,train_q50_loss,train_q90_loss,train_q95_loss,train_q99_loss,validation_q50_loss,validation_q90_loss,validation_q95_loss,validation_q99_loss,train_crossing_fraction,validation_crossing_fraction,learning_rate,gradient_norm
1,0.12381663127802313,0.08904002130031585,0.2381085251830518,0.1386754036694765,0.08876581791322678,0.029716778843430804,0.17260471381247044,0.10105999536812306,0.06349190961569548,0.019003466796129943,0.0,0.0,0.001,0.9135578988865017
2,0.08894839926622808,0.08931547306478023,0.1719421270675957,0.09760531978681683,0.06362810079939664,0.022618050806922838,0.1895767692476511,0.09153691001236439,0.05773322012275457,0.018414992690086365,0.0,0.0,0.001,0.7465202144160866
3,0.07279823649208993,0.0662481290847063,0.14568347668275236,0.07876837042160333,0.05015649997862056,0.016584600704954936,0.1342488794773817,0.07175289053469897,0.045751110911369325,0.013239633617922663,0.0,0.0,0.001,0.6527720665559172
4,0.0738988659856841,0.10686295382678508,0.1453552284836769,0.08069682171102613,0.0522929264861159,0.01725048734457232,0.17135940492153168,0.1273793477192521,0.09388441570103169,0.034828643477521834,0.0,0.0,0.001,0.6478397258743643
5,0.06012185861356557,0.06475634712725878,0.12134837728925049,0.0648433092283085,0.04103657365776599,0.013259174904669635,0.127746595852077,0.07128615412861108,0.046594493370503184,0.013398142699152231,0.0,0.0,0.001,0.5688645622693003
6,0.060035054464824496,0.05203677415847778,0.12100944078527391,0.06430144117213786,0.04102953889872879,0.013799796781968325,0.11806209988892079,0.051033412590622905,0.030081886053085326,0.008969697197899222,0.0,0.0,0.001,0.5721163598634302
7,0.05353486971464008,0.04001295171678066,0.10973336088471114,0.05729841490741819,0.03602293037576601,0.011084773089387455,0.0846165781840682,0.04258972577750683,0.025402176175266505,0.007443328532390297,0.0,0.0,0.001,0.5250339994393289
8,0.05531765963882208,0.04589350044727326,0.11216887990944087,0.0592931844945997,0.03774275853531435,0.012065816575777717,0.09584716103971004,0.04962252616882324,0.02963245226070285,0.00847186179831624,0.0,0.0,0.001,0.5003291768394411
9,0.05215715916827321,0.04296861659735441,0.10726475519128144,0.05546344593167305,0.034880666681565344,0.011019771492574364,0.09071800909936428,0.04566343564540148,0.02873000904917717,0.006763010146096348,0.0,0.0,0.001,0.48720259610563516
10,0.045310246124863625,0.05062803655862808,0.09582909355871379,0.047802365561947224,0.029367362142074853,0.008242163260001689,0.09211747825145722,0.0581835637614131,0.03835940456017852,0.013851700783707201,0.0,0.0,0.001,0.4463005923014134
11,0.045525599154643714,0.04505847871303558,0.0952935984171927,0.0476359121222049,0.03003697670996189,0.009135908132884651,0.10135752737522125,0.04533515799790621,0.026163724418729543,0.007377503756433725,0.0,0.0,0.001,0.4268096888810396
12,0.04494798841420561,0.04790987018495798,0.09542864334769546,0.0473997730249539,0.02892612118506804,0.008037416356964968,0.10258044697344303,0.050004330053925516,0.030256273336708547,0.00879843250848353,0.0,0.0,0.001,0.42350844100117685
13,0.04450200986117125,0.03979109477251768,0.09311984794214367,0.04720795325003564,0.029341406689491124,0.008338831293513068,0.09420067638158798,0.036809968650341036,0.021413641441613437,0.00674008987378329,0.0,0.0,0.001,0.3932664549909532
14,0.040704947342164816,0.039186727963387964,0.08741814994253218,0.04238769196672365,0.025836474116658792,0.007177472386392765,0.0878730946034193,0.03887128159403801,0.023611771762371062,0.006390765435062349,0.0,0.0,0.001,0.3886779210343957
15,0.04034476448781788,0.031101474836468697,0.08475835082586855,0.04244877584744245,0.026488011775072665,0.007683919699047692,0.07532595098018646,0.02689077902585268,0.016916648028418423,0.0052725202729925515,0.0,0.0,0.001,0.3814817921537906
16,0.03850624384358525,0.08775497954338789,0.08364410819485783,0.03970831007696688,0.02404978359816596,0.006622773489216343,0.13647088065743446,0.10153421178460122,0.07549837736412883,0.03751644808799028,0.0,0.0,0.001,0.35723046004772185
17,0.03980810815934092,0.03386520590633154,0.08633411709219217,0.04126816138159484,0.024821776871103794,0.00680837782274466,0.06848341669887305,0.03788829252123833,0.023098798673599957,0.005990316052921116,0.0,0.0,0.001,0.361532925311476
18,0.03832294904626906,0.03656726378947497,0.08079219390172511,0.04012724163243547,0.024917201413773002,0.0074551601737039164,0.07774697415530682,0.03883705783635378,0.022898637503385545,0.006786385383456946,0.0,0.0,0.001,0.3496698434092104
19,0.03552308419719338,0.03013474553823471,0.0771453819796443,0.03669918656116351,0.022181625075172632,0.006066142925410531,0.0705904483050108,0.02810344200581312,0.0169336031191051,0.004911489030346275,0.0,0.0,0.001,0.3285579955391586
20,0.03668894644826651,0.03133913297206163,0.07973837414756417,0.037972783155273644,0.022831105331424625,0.006213524350314401,0.06454843256622553,0.03323331106454134,0.02090157048776746,0.006673215460032225,0.0,0.0,0.001,0.3269566528871655
