eval_split,criticality,mean,median,std,min,max
test_id,HI,15665.78125,15665.78125,0.0,15665.78125,15665.78125
test_id,LO,0.0,0.0,0.0,0.0,0.0
test_ood,HI,15665.78125,15665.78125,0.0,15665.78125,15665.78125
test_ood,LO,0.0,0.0,0.0,0.0,0.0
