eval_split,criticality,n,base_quantile,target_coverage,raw_coverage,raw_miscoverage,calibrated_coverage,calibrated_miscoverage,mean_inflation_us,median_inflation_us,mean_Qhat_base_us,mean_C_e_us
calibration (self),HI,1050,Q95,0.99,0.98,0.020000000000000018,0.9914285714285714,0.008571428571428563,15665.78125,15665.78125,325836.08495535713,341501.86620535713
calibration (self),LO,1050,Q95,0.95,0.9885714285714285,0.011428571428571455,0.9885714285714285,0.011428571428571455,0.0,0.0,318646.48113095236,318646.48113095236
calibration (self),ALL,2100,Q95,,0.9842857142857143,0.01571428571428568,0.99,0.010000000000000009,7832.890625,7832.890625,322241.28304315475,330074.17366815475
