criticality,target_coverage,static_coverage,sliding_window_coverage,static_mean_budget_us,sliding_window_mean_budget_us
HI,0.99,0.979047619047619,0.9866666666666667,328639.1540922619,355590.1978422619
LO,0.95,0.9514285714285714,0.9619047619047619,293057.37476190476,297963.97476190474
