criticality,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate
HI,1050,8396.446516927082,4372.889876674107,2844.7742069382457,1016.5869235305063,4157.674381017485,0.5047619047619047,0.9352380952380952,0.9561904761904761,0.9828571428571429,16792.893033854165,30144.052434174766,5.84525122042346,-170.87913504464285,0.0
LO,1050,8253.536015625,5362.339128720237,3928.8923552827396,2015.0654152529767,4889.958228720238,0.539047619047619,0.9314285714285714,0.9514285714285714,0.9771428571428571,16507.07203125,35192.0938140024,6.190621815089758,-1167.6468526785713,0.0
