num_nodes_bin,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate
501-700,882,7919.451499610261,5264.5094635770965,3926.0350924744916,2098.384448518991,4802.09512604521,0.5113378684807256,0.9501133786848073,0.9659863945578231,0.981859410430839,15838.902999220521,36637.519589942654,5.316595209763128,-2283.0725269274376,0.0
701-1000,1218,8618.657993861607,4580.207806887572,2996.3767970193207,1093.9736224375263,4322.304055051506,0.5295566502463054,0.9211822660098522,0.944991789819376,0.9786535303776683,17237.315987723214,29647.480225792253,6.525804361476026,499.357702496408,0.0
