density_parameter_bin,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate
high(0.8),1092,10153.088888650413,6217.4431554773355,4564.91840194311,2336.1401845095015,5817.89765764509,0.5082417582417582,0.9075091575091575,0.9322344322344323,0.967948717948718,20306.177777300825,40965.0035575243,6.828821136188694,-2417.9839528960624,0.0
low(0.2),420,4416.295519438244,2682.226272786458,1660.6712595331117,491.37429654947954,2312.6418370768233,0.5142857142857142,0.9833333333333333,0.9928571428571429,1.0,8832.591038876488,12905.51495796856,3.992927455405203,132.11920107886905,0.0
mid(0.4-0.6),588,7721.8783581792095,3921.781454613095,2431.9337864051886,724.1371933460889,3699.9326981358954,0.5527210884353742,0.9455782312925171,0.9659863945578231,0.9880952380952381,15443.756716358419,24468.26153075602,5.958442985205168,2005.9457908163265,0.0
