target_role,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate
communication_heavy,301,12668.514638704319,6976.209499584718,4621.761145141198,1504.5895328073095,6442.7687040593855,0.43521594684385384,0.8637873754152824,0.9003322259136213,0.9568106312292359,25337.029277408637,38052.31603338595,5.420661656980022,-10516.387769933555,0.0
diverse_fill_1,119,8194.945936186974,4658.5131433823535,2870.5998621323547,781.0894393382358,4126.28709525998,0.6470588235294118,0.9243697478991597,0.9411764705882353,0.9747899159663865,16389.891872373948,24570.309978101366,6.983496129550566,4485.877232142857,0.0
diverse_fill_2,35,4010.8775669642855,2290.6320535714276,1426.1653794642868,415.31403571428604,2035.7472589285715,0.6857142857142857,1.0,1.0,1.0,8021.755133928571,9913.088146244801,4.361008343753196,3218.8745535714284,0.0
high_degree,245,6451.525334821428,3191.456527423469,1905.1512324617363,527.0837120535718,3018.8042016900517,0.5428571428571428,0.9346938775510204,0.9673469387755103,0.9959183673469387,12903.050669642857,17727.277729758414,4.945358203058318,-759.5046875,0.0
middle,350,9648.704397321428,6112.733964285715,4396.928174107144,2142.311284375,5575.169455022321,0.6,0.9142857142857143,0.9314285714285714,0.9571428571428572,19297.408794642855,31884.480319413597,6.20147787147187,70.23928571428571,0.0
random,350,7297.550139508929,3079.124436383928,1798.2504882812516,490.61131997767905,3166.3840960379466,0.6142857142857143,0.9771428571428571,0.9885714285714285,1.0,14595.100279017857,30735.196995347014,7.388434173124477,9012.443426339285,0.0
sink_like,350,11911.292924107143,8651.343687499999,6857.416535714287,4218.294061160715,7909.586802120537,0.5742857142857143,0.9171428571428571,0.94,0.9714285714285714,23822.585848214287,52417.03555386232,6.154692495472036,-2484.9363392857144,0.0
source_like,350,2494.0404380580358,1315.9675150669639,841.4635499441971,273.73294123883954,1231.3011110770092,0.3,0.98,0.9914285714285714,1.0,4988.0808761160715,7231.727819463944,5.429005280905118,-2884.6632868303573,0.0
