core_type,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate
big,1050,6385.949695870536,3862.696257254464,2680.656156156995,1216.5712039992563,3536.4683283203126,0.5723809523809524,0.940952380952381,0.96,0.981904761904762,12771.899391741072,24395.998567308437,6.355507782790559,1473.8146409970238,0.0
little,1050,10264.032836681548,5872.53274813988,4093.01040606399,1815.0811347842268,5511.164281417412,0.4714285714285714,0.9257142857142857,0.9476190476190476,0.9780952380952381,20528.065673363097,39395.21059813881,5.680365252722659,-2812.340628720238,0.0
