regular_bin,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate
high(0.8),1050,6984.92601469494,3348.5800920758925,2086.8668890439,595.4557154575897,3253.9571778180807,0.5304761904761904,0.9666666666666667,0.9761904761904762,0.9933333333333333,13969.85202938988,24809.52634077014,5.761112087850752,2703.940355282738,0.0
low(0.2),378,10345.286070808532,7326.032107721561,5856.1053912450425,3768.4557496279763,6823.969829850778,0.5238095238095238,0.9312169312169312,0.9603174603174603,0.9761904761904762,20690.572141617064,49474.9762550083,6.2645156502561,-4615.497953869048,0.0
mid(0.4-0.6),672,9282.427394321987,5858.245866466703,4029.06520676386,1686.8008647809713,5214.134833083381,0.5074404761904762,0.8824404761904762,0.9151785714285714,0.9613095238095238,18564.854788643974,31879.56800009088,6.2805239274535465,-3720.1360618954614,0.0
