fat_bin,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate
high(0.8),1176,9200.039155505952,6046.5931690449615,4429.767676279497,2253.428210665126,5482.457052873884,0.5450680272108843,0.91921768707483,0.9362244897959183,0.9693877551020408,18400.078311011905,37131.12291633661,6.231838267574158,-1564.923127258716,0.0
low(0.2),294,10124.761396550808,4633.125698208971,2943.7620598825483,828.5708654203873,4632.555005015679,0.5476190476190477,0.9455782312925171,0.95578231292517,0.9795918367346939,20249.522793101616,38276.153900797646,8.424938163724093,4974.814273756378,0.0
mid(0.4-0.6),630,5851.675812251984,2776.282434275793,1646.7889800347236,459.68816753472277,2683.6088485243063,0.4666666666666667,0.953968253968254,0.9857142857142858,1.0,11703.351624503968,17924.04029852279,4.495385816645692,-1631.2668030753969,0.0
