dvfs_level,n,pinball_Q50,pinball_Q90,pinball_Q95,pinball_Q99,mean_pinball,coverage_Q50,coverage_Q90,coverage_Q95,coverage_Q99,mae,rmse,mape,bias,quantile_crossing_rate
0,521,11674.925496341171,6341.9503433901145,4392.225473098611,1931.7785525131965,6085.219966335772,0.4894433781190019,0.9136276391554703,0.9424184261036468,0.9788867562380038,23349.850992682343,41342.27033384246,6.050719619231603,-2084.048449496161,0.0
1,527,8240.352544621679,4961.4530308645635,3488.976112206476,1579.9096069289615,4567.672823655421,0.523719165085389,0.9468690702087287,0.9658444022770398,0.9829222011385199,16480.705089243358,35631.514534885864,5.561563818969336,75.02737339895636,0.0
2,527,6919.610472011385,4082.4588376126662,2777.9403711308128,1173.0307515269217,3738.2601080704467,0.5275142314990512,0.937381404174573,0.9582542694497154,0.9791271347248577,13839.22094402277,25710.687245938756,5.937176290185485,-67.60288929079697,0.0
3,525,6496.276125372024,4098.462422991072,2897.7817754836324,1382.8166875372028,3718.834252845983,0.5466666666666666,0.9352380952380952,0.9485714285714286,0.979047619047619,12992.552250744047,25693.08582179519,6.524582339323093,-616.3347581845238,0.0
